Product name,Product price,Image URLs
"Sovol 3D Printer Tools Kit, 78 PCS 3D Printer Accessories with Nozzle Cleaning Kit, Removable Multi-Function Screwdriver Kit, Deburring, Removal Tools, Cutters, Hobby Knife Set, Wrench Set",$59.99,"https://images-fe.ssl-images-amazon.com/images/I/713nL8QgGBL._AC_UL300_SR300,200_.jpg"
Microsoft Office 2021 Home and Student,$219.00,"https://images-fe.ssl-images-amazon.com/images/I/81YyD44j+fL._AC_UL300_SR300,200_.jpg"
McAfee Total Protection 3 Device,$23.01,"https://images-fe.ssl-images-amazon.com/images/I/71yAgIUHX+L._AC_UL300_SR300,200_.jpg"
"McAfee® Total Protection Antivirus & Internet Security Software for 1 Device (Windows®/Mac®/Android/iOS), 1-Year Subscription Standard - PC/Mac [Digital Download]",$64.95,"https://images-fe.ssl-images-amazon.com/images/I/61CESOdaN1L._AC_UL300_SR300,200_.jpg"
CLIP STUDIO PAINT PRO - Version 2 | Perpetual License | for Microsoft Windows and macOS,$63.41,"https://images-fe.ssl-images-amazon.com/images/I/71708fPSmBL._AC_UL300_SR300,200_.jpg"
Retro Games Commodore 64 Mini C64 and Commodore 64 Game Console,$95.13,"https://images-fe.ssl-images-amazon.com/images/I/81UsjJSaKDL._AC_UL300_SR300,200_.jpg"
Latest New Release digiKam Photo Editing Software App for Windows on DVD,$8.95,"https://images-fe.ssl-images-amazon.com/images/I/51JehKirTdL._AC_UL300_SR300,200_.jpg"
"Trend Micro Maximum Security 2023 multi-language for PC, Mac, Android and iOS Product key card Windows 8.1 and 10, 11",$58.00,"https://images-fe.ssl-images-amazon.com/images/I/7128j-VGrfL._AC_UL300_SR300,200_.jpg"
"K7 Antivirus Premium Antivirus Software 2024 for laptop/pc|1 Users, 3 Year| Antivirus, Internet Protection,Threat protection",$9.99,"https://images-fe.ssl-images-amazon.com/images/I/61tJ2TkaGLL._AC_UL300_SR300,200_.jpg"
Windows 10 Pro 64 bit OEM DVD - English - Full Version - OEM Windows 10 Professional 64 bit,0.00,"https://images-fe.ssl-images-amazon.com/images/I/81YJhCxebtL._AC_UL300_SR300,200_.jpg"
"Norton 360 Standard 10GB 1 User 2 Devices PC MAC Android iOS DVD, OEM Security Software | Digital Delivery Same Day",$21.35,"https://images-fe.ssl-images-amazon.com/images/I/813XzH3PESL._AC_UL300_SR300,200_.jpg"
"Latest Debian Linux ""Workstation"" Operating System for PC on DVD",$8.95,"https://images-fe.ssl-images-amazon.com/images/I/31Z7KdJbKtL._AC_UL300_SR300,200_.jpg"
Avast Ultimate Suite Multi-Device (10 Devices | 1 Year) (Premium Total Security) (Email Delivery in 1 Hour- No CD),$29.89,"https://images-fe.ssl-images-amazon.com/images/I/61obQdwgPzL._AC_UL300_SR300,200_.jpg"
"Kaspersky Total Internet Security 1 Devices 1 Year Software License, Antivirus for PC, MAC | Same day Digital Delivery",0.00,"https://images-fe.ssl-images-amazon.com/images/I/61G7LQ9T7kL._AC_UL300_SR300,200_.jpg"
CLIP STUDIO PAINT PRO - NEW 2018 Branding - for Microsoft Windows and MacOS,$67.26,"https://images-fe.ssl-images-amazon.com/images/I/71K8CrFujrL._AC_UL300_SR300,200_.jpg"
Autodesk Autocad 2025|2024|2023|2022| 3 User 3 Year Subscription Windows or Mac| 24 Hour Delivery| Free Tech Support,$259.00,"https://images-fe.ssl-images-amazon.com/images/I/51dGrQ8xS+L._AC_UL300_SR300,200_.jpg"
"ROLAND AIRA Compact J-6 CHORD SYNTH | Portable song creation machine with professional Roland sound and features | JUNO-60 Synth Engine & Presets | Chord Sequencer | Effects, Black",$309.00,"https://images-fe.ssl-images-amazon.com/images/I/61XTCweLgpL._AC_UL300_SR300,200_.jpg"
Synology Surveillance Device License Pack for NAS with 1 Additional License,$94.10,"https://images-fe.ssl-images-amazon.com/images/I/81PXK2iNCgL._AC_UL300_SR300,200_.jpg"
"GIMP Photo Editor 2024 Premium Professional Image Editing Software CD Compatible with Windows 11 10 8.1 8 7 Vista XP PC 32 & 64-Bit, macOS, Mac OS X & Linux – Lifetime License, No Monthly Subscription!",0.00,"https://images-fe.ssl-images-amazon.com/images/I/61Mw9zor+ML._AC_UL300_SR300,200_.jpg"
"LibreOffice 2024 Compatible with Microsoft Word 2021 365 2023 2016 2013 2010 2007 Word Processor Software DVD CD for PC Windows 11 10 8.1 8 7 Vista XP 32 64-Bit, Mac & Linux - No Yearly Subscription",$25.99,"https://images-fe.ssl-images-amazon.com/images/I/51Nb8p0lYnL._AC_UL300_SR300,200_.jpg"
Microsoft 365 Personal 2021,$119.00,"https://images-fe.ssl-images-amazon.com/images/I/71nL4RogA6L._AC_UL300_SR300,200_.jpg"
Bitdefender Total Security - 5 Devices | 2 year Subscription | PC/Mac | Activation Code by Mail,$159.95,"https://images-fe.ssl-images-amazon.com/images/I/71ClkhVTSbL._AC_UL300_SR300,200_.jpg"
"Trend Micro Maximum Security 2023 version 17.7 3 devices 3 years multi-language for PC, Mac, Android and iOS Product key card Windows 8.1 and 10, 11 not Device Security",0.00,"https://images-fe.ssl-images-amazon.com/images/I/51j8CvjTh1L._AC_UL300_SR300,200_.jpg"
Office Suite 2018 Premium Edition CD DVD 100% Compatible with Microsoft® Word® and Excel® for Windows 10-8-7-Vista-XP,$8.95,"https://images-fe.ssl-images-amazon.com/images/I/71cfxlTwe5L._AC_UL300_SR300,200_.jpg"
